Back,,,,Chrome,Firefox,IE,,,,,,
ID_293,,"Kiểm tra ""Hiệu lực từ"" LỚN HƠN ""Hiệu lực đến""
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Hiệu lực từ"" = 15/05/2026
+ ""Hiệu lực đến"" = 10/05/2026","- Hệ thống thông báo (bên dưới field ""Hiệu lực đến"") - Error message: ""Hiệu lực đến phải sau hiệu lực từ""
- Phát hiện dữ liệu không hợp lệ => Hệ thống thông báo ngay, không cần user chọn btn ""Thêm báo giá"" mới thông báo",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_294,,"Kiểm tra ""Hiệu lực từ"" BẰNG ""Hiệu lực đến""
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Hiệu lực từ"" = 15/05/2026
+ ""Hiệu lực đến"" = 15/05/2026",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_295,,"Kiểm tra ""Hiệu lực từ"" NHỎ HƠN ""Hiệu lực đến""
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Hiệu lực từ"" = 15/05/2026
+ ""Hiệu lực đến"" = 31/12/2026",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_296,,"Kiểm tra ""Giao hàng từ ngày"" LỚN HƠN ""Giao hàng đến ngày""
Group 5 ""Thông tin vận chuyển""","- Chọn/ nhập dữ liệu:
+ ""Giao hàng từ ngày"" = 15/05/2026
+ ""Giao hàng đến ngày"" = 10/05/2026","- Hệ thống thông báo (bên dưới field ""Giao hàng đến ngày"") - Error message: ""Giao hàng đến ngày phải sau giao hàng từ ngày""
- Phát hiện dữ liệu không hợp lệ => Hệ thống thông báo ngay, không cần user chọn btn ""Thêm báo giá"" mới thông báo",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_297,,"Kiểm tra ""Giao hàng từ ngày"" LỚN HƠN ""Giao hàng đến ngày""
Group 5 ""Thông tin vận chuyển""","- Chọn/ nhập dữ liệu:
+ ""Giao hàng từ ngày"" = 15/05/2026
+ ""Giao hàng đến ngày"" = 15/05/2026",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_298,,"Kiểm tra ""Giao hàng từ ngày"" LỚN HƠN ""Giao hàng đến ngày""
Group 5 ""Thông tin vận chuyển""","- Chọn/ nhập dữ liệu:
+ ""Giao hàng từ ngày"" = 15/05/2026
+ ""Giao hàng đến ngày"" = 31/12/2026",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_299,,"Kiểm tra ""Giao hàng từ ngày"" LỚN HƠN ""Giao hàng đến ngày""
Group 5 ""Thông tin vận chuyển""","- Chọn/ nhập dữ liệu:
+ ""Giao hàng từ ngày"" = 15/05/2026
+ ""Giao hàng đến ngày"" = 31/12/2026",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_300,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = BG_DTL - Báo giá đường tinh luyện
- Chọn button ""Thêm báo giá""","Hệ thống thông báo - Toast message: ""<icon error> Mã báo giá đã tồn tại""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_301,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Có khoảng trắng","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
1. Nhập/Paste giá trị trùng = <khoảng trắng>BG_DTL - Báo giá đường tinh luyện
2. Nhập/Paste giá trị trùng = BG_DTL - Báo giá<khoảng trắng><khoảng trắng>đường tinh luyện
3. Nhập/Paste giá trị trùng = BG_DTL - Báo giá đường tinh luyện<khoảng trắng>
- Chọn button ""Thêm báo giá""","Hệ thống thông báo - Toast message: ""<icon error> Mã báo giá đã tồn tại""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_302,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Chữ thường","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = bg_dtl - báo giá đường tinh luyện
- Chọn button ""Thêm báo giá""","Hệ thống thông báo - Toast message: ""<icon error> Mã báo giá đã tồn tại""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_303,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Chữ IN HOA","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = BG_DTL - BÁO GIÁ ĐƯỜNG TINH LUYỆN
- Chọn button ""Thêm báo giá""","Hệ thống thông báo - Toast message: ""<icon error> Mã báo giá đã tồn tại""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_304,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Chữ thường và IN HOA","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
1. Nhập/Paste giá trị trùng = bg_dtl - BÁO GIÁ ĐƯỜNG TINH LUYỆN
2. Nhập/Paste giá trị trùng = BG_DTL - báo giá đường tinh luyện
- Chọn button ""Thêm báo giá""","Hệ thống thông báo - Toast message: ""<icon error> Mã báo giá đã tồn tại""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_305,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Tiếng Việt không dấu","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = BG_DTL - Bao gia duong tinh luyen
- Chọn button ""Thêm báo giá""","Hệ thống thông báo - Toast message: ""<icon error> Mã báo giá đã tồn tại""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_306,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Tiếng Việt không dấu viết liền","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = BG_DTL - Baogiaduongtinhluyen
- Chọn button ""Thêm báo giá""",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_307,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Có ký tự đặc biệt ở đầu","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = .BG_DTL - Báo giá đường tinh luyện
- Chọn button ""Thêm báo giá""",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_308,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Có ký tự đặc biệt ở giữa","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = BG_DTL - Báo giá.đường tinh luyện
- Chọn button ""Thêm báo giá""",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_309,,"Kiểm tra ""Mã báo giá"" là trùng key đã tồn tại trong hệ thống
Có ký tự đặc biệt ở cuối","- Database tồn tại ""Mã báo giá"" = BG_DTL - Báo giá đường tinh luyện
+ Nhập/Paste giá trị trùng = BG_DTL - Báo giá đường tinh luyện.
- Chọn button ""Thêm báo giá""",Cho phép,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_310,,"Kiểm tra ""Mã báo giá"" là xuống dòng
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
BG_DTL
Báo giá đường tinh luyện
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_311,,"Kiểm tra ""Tên báo giá"" là xuống dòng
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
Báo giá
Đường tinh luyện tháng 04/2026
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_312,,"Kiểm tra ""Mô tả"" là xuống dòng
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
Báo giá
Cung cấp sản phẩm đường tinh luyện cho khách hàng doanh nghiệp
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_313,,"Kiểm tra ""Ghi chú"" là xuống dòng
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
Giá đã bao gồm VAT_10
Áp dụng trong 15 ngày
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_314,,"Kiểm tra ""Số báo giá"" là xuống dòng
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
BG_DT
2026_04_001
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_315,,"Kiểm tra ""Tên khách hàng"" là xuống dòng
Group 2 ""Thông tin khách hàng""","- Nhập/Paste giá trị =
Công ty TNHH
Thực phẩm ABC
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_316,,"Kiểm tra là xuống dòng
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_317,,"Kiểm tra ""Tên xuất hóa đơn"" là xuống dòng
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị =
Công ty TNHH
Thực phẩm ABC CN HCM
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_318,,"Kiểm tra ""Địa chỉ xuất hóa đơn"" là xuống dòng
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị =
123 Nguyễn Văn Linh
Quận 7, TP. Hồ Chí Minh
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_319,,"Kiểm tra ""Mã số thuế xuất hóa đơn"" là xuống dòng
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị =
03123
45678
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_320,,"Kiểm tra ""Địa chỉ kho xuất hàng"" là xuống dòng
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị =
Kho Bình Tân, 456 Quốc lộ 1A
Quận Bình Tân, TP. Hồ Chí Minh
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Kho xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_321,,"Kiểm tra là xuống dòng
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_322,,"Kiểm tra hiển thị ở field text: ""Mã báo giá"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
BG_DTL - Báo giá sản phẩm đường tinh luyện tháng 04.2026
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_323,,"Kiểm tra hiển thị ở field text: ""Tên báo giá"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
Báo giá cung cấp sản phẩm đường tinh luyện chất lượng cao phục vụ sản xuất thực phẩm và tiêu dùng nội địa tháng 04 năm 2026
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_324,,"Kiểm tra hiển thị ở field text: ""Mô tả"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
Báo giá chi tiết cho việc cung cấp sản phẩm đường tinh luyện đạt tiêu chuẩn an toàn thực phẩm, phục vụ cho các doanh nghiệp sản xuất bánh kẹo, nước giải khát và tiêu dùng trực tiếp tại thị trường Việt Nam
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_325,,"Kiểm tra hiển thị ở field text: ""Ghi chú"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
Giá đã bao gồm thuế giá trị gia tăng (VAT 10), chưa bao gồm chi phí vận chuyển ngoài khu vực nội thành. Thời gian hiệu lực báo giá trong vòng 15 ngày kể từ ngày phát hành. Điều khoản thanh toán linh hoạt theo thỏa thuận hợp đồng
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_326,,"Kiểm tra hiển thị ở field text: ""Số báo giá"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị =
BG_DTL_2026_04_001_CHITIET_KHACHHANG_DOANHNGHIEP_LON
- Chọn button ""Thêm báo giá""",Cho phép và lưu theo user nhập,7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_327,,"Kiểm tra hiển thị ở field text: ""Tên khách hàng"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 2 ""Thông tin khách hàng""","- Nhập/Paste giá trị =
Công ty Trách nhiệm Hữu hạn Sản xuất và Thương mại Thực phẩm ABC Việt Nam
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_328,,"Kiểm tra hiển thị ở field text khi nhập vượt quá chiều rộng của field
Text wrapping
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_329,,"Kiểm tra hiển thị ở field text: ""Tên xuất hóa đơn"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị =
Công ty Trách nhiệm Hữu hạn Sản xuất và Thương mại Thực phẩm ABC Việt Nam - CN HCM
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_330,,"Kiểm tra hiển thị ở field text: ""Địa chỉ xuất hóa đơn"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị =
Số 123 Đường Nguyễn Văn Linh, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_331,,"Kiểm tra hiển thị ở field text: ""Mã số thuế xuất hóa đơn"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 4 ""Thông tin xuất hóa đơn""","- Nhập/Paste giá trị =
03123456780312345678031234567803123456780312345678
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_332,,"Kiểm tra hiển thị ở field text: ""Địa chỉ kho xuất hàng"" khi nhập vượt quá chiều rộng của field
Text wrapping
Group 5 ""Thông tin vận chuyển""","- Nhập/Paste giá trị =
Kho trung chuyển Bình Tân - Số 456 Quốc lộ 1A, Phường Bình Trị Đông B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam
- Chọn button ""Thêm báo giá""","- Field là readonly
- Mặc định load dữ liệu theo ""Kho xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_333,,"Kiểm tra hiển thị ở field text khi nhập vượt quá chiều rộng của field
Text wrapping
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_334,,"Kiểm tra ""Mã báo giá"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Mã báo giá"" = BG-BG_DTL - Báo giá đường tinh luyện
+ Xóa dữ liệu ""Mã báo giá"" vừa nhập","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng nhập mã báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_335,,"Kiểm tra ""Người phụ trách"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Người phụ trách"" = duyenntm@msm.com.vn
+ Xóa dữ liệu ""Người phụ trách"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn người phụ trách""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_336,,"Kiểm tra ""Tên báo giá"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Tên báo giá"" = Báo giá đường tinh luyện tháng 04.2026
+ Xóa dữ liệu ""Tên báo giá"" vừa nhập","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng nhập tên báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_337,,"Kiểm tra ""Loại báo giá"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Loại báo giá"" = Sub Contract
+ Xóa dữ liệu ""Loại báo giá"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn loại báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_338,,"Kiểm tra ""Khách hàng"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Khách hàng"" = Công ty TNHH Thực phẩm ABC
+ Xóa dữ liệu ""Khách hàng"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn khách hàng""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_339,,"Kiểm tra ""Tiền tệ"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Tiền tệ"" = Đồng
+ Xóa dữ liệu ""Tiền tệ"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn tiền tệ""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_340,,"Kiểm tra ""Bảng giá"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Bảng giá"" = Bảng giá tháng 04.2026
+ Xóa dữ liệu ""Bảng giá"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn bảng giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_341,,"Kiểm tra ""Số thập phân của giá"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Bảng giá"" = Bảng giá tháng 04.2026
+ ""Số thập phân của giá"" = 2
+ Xóa dữ liệu ""Số thập phân của giá"" vừa nhập","- Field là readonly
- Mặc định load dữ liệu theo ""Bảng giá"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_342,,"Kiểm tra ""Ngày báo giá"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Ngày báo giá"" = 11/04/2026
+ Xóa dữ liệu ""Ngày báo giá"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn ngày báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_343,,"Kiểm tra ""Hiệu lực từ"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Hiệu lực từ"" = 01/04/2026
+ Xóa dữ liệu ""Hiệu lực từ"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn hiệu lực từ""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_344,,"Kiểm tra ""Hiệu lực đến"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Hiệu lực đến"" = 30/04/2026
+ Xóa dữ liệu ""Hiệu lực đến"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn hiệu lực đến""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_345,,"Kiểm tra ""Pháp nhân bán hàng"" xóa dữ liệu chọn trong field required
Group 1 ""Thông tin chung""","- Chọn/ nhập dữ liệu:
+ ""Pháp nhân bán hàng"" = BHC
+ Xóa dữ liệu ""Pháp nhân bán hàng"" vừa chọn","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng chọn pháp nhân bán hàng""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_346,,"Kiểm tra ""Tên khách hàng"" xóa dữ liệu chọn trong field required
Group 2 ""Thông tin khách hàng""","- Chọn/ nhập dữ liệu:
+ ""Khách hàng"" = Công ty TNHH Thực phẩm ABC
+ ""Tên khách hàng"" = Công ty TNHH Thực phẩm ABC Sugar
+ Xóa dữ liệu ""Tên khách hàng"" vừa nhập","- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
